k Nrep i_ave squared_error_HSgb_G
1 100 1 0.00738146888
1 100 2 0.02270579474
1 100 3 0.02952256811
1 100 4 0.06871744906
1 100 5 0.02840017812
1 100 6 0.03823131851
1 100 7 0.03230880063
1 100 8 0.02502760590
1 100 9 0.01099025791
1 100 10 0.02900501228
1 100 11 0.04554588874
1 100 12 0.01797126520
1 100 13 0.02265012637
1 100 14 0.00894228367
1 100 15 0.02376030844
1 100 16 0.02500891815
1 100 17 0.05413381284
1 100 18 0.02641008508
1 100 19 0.02936858762
1 100 20 0.02954227755
1 100 21 0.00965159238
1 100 22 0.03646701981
1 100 23 0.01413826442
1 100 24 0.04685982327
1 100 25 0.00771548522
1 100 26 0.00690137729
1 100 27 0.01237143999
1 100 28 0.04388898823
1 100 29 0.02026841442
1 100 30 0.01406475695
1 100 31 0.01055194261
1 100 32 0.01655186858
1 100 33 0.00929272184
1 100 34 0.02375818156
1 100 35 0.02892291072
1 100 36 0.05362887088
1 100 37 0.01156361829
1 100 38 0.02310461592
1 100 39 0.02678001957
1 100 40 0.00656390550
1 100 41 0.02551458576
1 100 42 0.01541195186
1 100 43 0.01280851188
1 100 44 0.00268610667
1 100 45 0.05748084407
1 100 46 0.02504312995
1 100 47 0.01721035383
1 100 48 0.02563031980
1 100 49 0.03891817992
1 100 50 0.00755086376
1 100 51 0.01758325117
1 100 52 0.01805547762
1 100 53 0.03496467635
1 100 54 0.03886076438
1 100 55 0.01243134903
1 100 56 0.02242234401
1 100 57 0.03870922636
1 100 58 0.01856623198
1 100 59 0.01050605721
1 100 60 0.01028100395
1 100 61 0.00591651768
1 100 62 0.01765316197
1 100 63 0.01330677021
1 100 64 0.02396747899
1 100 65 0.03649508699
1 100 66 0.04403236448
1 100 67 0.01857508013
1 100 68 0.01843471768
1 100 69 0.01015177714
1 100 70 0.04708811464
1 100 71 0.03330546208
1 100 72 0.02024548708
1 100 73 0.02459670490
1 100 74 0.02437380178
1 100 75 0.03297027573
1 100 76 0.02650645164
1 100 77 0.01555841400
1 100 78 0.02836057135
1 100 79 0.03112753586
1 100 80 0.03223219700
1 100 81 0.01616054295
1 100 82 0.01668495439
1 100 83 0.03792665465
1 100 84 0.01812913654
1 100 85 0.04139695519
1 100 86 0.01119939423
1 100 87 0.02758410877
1 100 88 0.02854424417
1 100 89 0.00826196645
1 100 90 0.05654356738
1 100 91 0.02250016045
1 100 92 0.01923822857
1 100 93 0.01461261021
1 100 94 0.02105130563
1 100 95 0.04984778393
1 100 96 0.02801021081
1 100 97 0.00255234023
1 100 98 0.03895851723
1 100 99 0.01516429936
1 100 100 0.01399222617
1 1000 1 0.00276280165
1 1000 2 0.00246172144
1 1000 3 0.00675336109
1 1000 4 0.00126398047
1 1000 5 0.00338730303
1 1000 6 0.00144878540
1 1000 7 0.00122217569
1 1000 8 0.00155493943
1 1000 9 0.00338140403
1 1000 10 0.00560302462
1 1000 11 0.00588229004
1 1000 12 0.00233025077
1 1000 13 0.00298637275
1 1000 14 0.00148413360
1 1000 15 0.00634983758
1 1000 16 0.00296612040
1 1000 17 0.00364827196
1 1000 18 0.00406297687
1 1000 19 0.00300445948
1 1000 20 0.00170041828
1 1000 21 0.00406475780
1 1000 22 0.00255115170
1 1000 23 0.01124291885
1 1000 24 0.00322310150
1 1000 25 0.00350664671
1 1000 26 0.00235747580
1 1000 27 0.00201899992
1 1000 28 0.00335566327
1 1000 29 0.00222171989
1 1000 30 0.00304255972
1 1000 31 0.00228973010
1 1000 32 0.00318947708
1 1000 33 0.00082464926
1 1000 34 0.00169497004
1 1000 35 0.00227682702
1 1000 36 0.00146823420
1 1000 37 0.00324731877
1 1000 38 0.00453951097
1 1000 39 0.00993557947
1 1000 40 0.00631968979
1 1000 41 0.00483105444
1 1000 42 0.00358044454
1 1000 43 0.00269682587
1 1000 44 0.00828850465
1 1000 45 0.00374734828
1 1000 46 0.00800901281
1 1000 47 0.00865494404
1 1000 48 0.00354351130
1 1000 49 0.00676048397
1 1000 50 0.00106657217
1 1000 51 0.00316032923
1 1000 52 0.00228937325
1 1000 53 0.00163439950
1 1000 54 0.00368704201
1 1000 55 0.00354864885
1 1000 56 0.00316486494
1 1000 57 0.00290856918
1 1000 58 0.00312872184
1 1000 59 0.00258656271
1 1000 60 0.00420411657
1 1000 61 0.00474876598
1 1000 62 0.00640130634
1 1000 63 0.00113585671
1 1000 64 0.00244855574
1 1000 65 0.00517842257
1 1000 66 0.00256448630
1 1000 67 0.00239905984
1 1000 68 0.00362415134
1 1000 69 0.00346681330
1 1000 70 0.00569203150
1 1000 71 0.00263742608
1 1000 72 0.00270985995
1 1000 73 0.00199188815
1 1000 74 0.00503841529
1 1000 75 0.00483686259
1 1000 76 0.00243233467
1 1000 77 0.00318360707
1 1000 78 0.00200650385
1 1000 79 0.00289675290
1 1000 80 0.00294825283
1 1000 81 0.00179222121
1 1000 82 0.00488834303
1 1000 83 0.00219777414
1 1000 84 0.00155894600
1 1000 85 0.00303045171
1 1000 86 0.00487274142
1 1000 87 0.00287950480
1 1000 88 0.00681815729
1 1000 89 0.00251336792
1 1000 90 0.00154931479
1 1000 91 0.00161054941
1 1000 92 0.00395273048
1 1000 93 0.00325074932
1 1000 94 0.00501731062
1 1000 95 0.00415128135
1 1000 96 0.00237456036
1 1000 97 0.00201791784
1 1000 98 0.00256619598
1 1000 99 0.00263700917
1 1000 100 0.00199534415
1 10000 1 0.00120899172
1 10000 2 0.00125779551
1 10000 3 0.00116992223
1 10000 4 0.00119535012
1 10000 5 0.00126277086
1 10000 6 0.00111026959
1 10000 7 0.00139776968
1 10000 8 0.00107909100
1 10000 9 0.00126240156
1 10000 10 0.00128029994
1 10000 11 0.00159129766
1 10000 12 0.00124934956
1 10000 13 0.00101278743
1 10000 14 0.00124335209
1 10000 15 0.00162839177
1 10000 16 0.00141961243
1 10000 17 0.00146751509
1 10000 18 0.00125128806
1 10000 19 0.00145121316
1 10000 20 0.00154567499
1 10000 21 0.00140534492
1 10000 22 0.00121481726
1 10000 23 0.00203264521
1 10000 24 0.00123923286
1 10000 25 0.00085735576
1 10000 26 0.00121313551
1 10000 27 0.00142825953
1 10000 28 0.00120687436
1 10000 29 0.00129052619
1 10000 30 0.00129386074
1 10000 31 0.00113368352
1 10000 32 0.00125901710
1 10000 33 0.00144965714
1 10000 34 0.00093302225
1 10000 35 0.00122793620
1 10000 36 0.00115695326
1 10000 37 0.00193671752
1 10000 38 0.00142601416
1 10000 39 0.00157158684
1 10000 40 0.00166810627
1 10000 41 0.00174782064
1 10000 42 0.00125084785
1 10000 43 0.00194807814
1 10000 44 0.00162254965
1 10000 45 0.00132163471
1 10000 46 0.00160350751
1 10000 47 0.00134869485
1 10000 48 0.00132854275
1 10000 49 0.00141348192
1 10000 50 0.00126148173
1 10000 51 0.00116778874
1 10000 52 0.00130247211
1 10000 53 0.00102181824
1 10000 54 0.00164065006
1 10000 55 0.00106180882
1 10000 56 0.00127030490
1 10000 57 0.00135859917
1 10000 58 0.00197917671
1 10000 59 0.00137613675
1 10000 60 0.00120264840
1 10000 61 0.00194629596
1 10000 62 0.00139776089
1 10000 63 0.00136643028
1 10000 64 0.00131302397
1 10000 65 0.00147884995
1 10000 66 0.00152024590
1 10000 67 0.00102718811
1 10000 68 0.00122383682
1 10000 69 0.00124534739
1 10000 70 0.00134596691
1 10000 71 0.00129257295
1 10000 72 0.00125251526
1 10000 73 0.00139332110
1 10000 74 0.00144245349
1 10000 75 0.00115439228
1 10000 76 0.00125604934
1 10000 77 0.00152782477
1 10000 78 0.00118979010
1 10000 79 0.00162649252
1 10000 80 0.00100951450
1 10000 81 0.00159403498
1 10000 82 0.00156871707
1 10000 83 0.00198716898
1 10000 84 0.00115485250
1 10000 85 0.00175020213
1 10000 86 0.00166323867
1 10000 87 0.00264812336
1 10000 88 0.00151243936
1 10000 89 0.00166013962
1 10000 90 0.00141803569
1 10000 91 0.00129769121
1 10000 92 0.00132591508
1 10000 93 0.00183907469
1 10000 94 0.00127584668
1 10000 95 0.00196238335
1 10000 96 0.00172127465
1 10000 97 0.00118221104
1 10000 98 0.00128739199
1 10000 99 0.00114590308
1 10000 100 0.00114999036
1 100000 1 0.00117553631
1 100000 2 0.00112366597
1 100000 3 0.00108450937
1 100000 4 0.00109997293
1 100000 5 0.00118269957
1 100000 6 0.00111370121
1 100000 7 0.00115328975
1 100000 8 0.00116857361
1 100000 9 0.00111901355
1 100000 10 0.00112951171
1 100000 11 0.00116332696
1 100000 12 0.00118859778
1 100000 13 0.00119850847
1 100000 14 0.00109664079
1 100000 15 0.00120782850
1 100000 16 0.00122384944
1 100000 17 0.00116539364
1 100000 18 0.00117967447
1 100000 19 0.00126290072
1 100000 20 0.00109001282
1 100000 21 0.00121693718
1 100000 22 0.00116214156
1 100000 23 0.00113933294
1 100000 24 0.00117566243
1 100000 25 0.00113750037
1 100000 26 0.00107331027
1 100000 27 0.00124221120
1 100000 28 0.00114171466
1 100000 29 0.00117450859
1 100000 30 0.00109382862
1 100000 31 0.00110212734
1 100000 32 0.00117341011
1 100000 33 0.00120676827
1 100000 34 0.00115283096
1 100000 35 0.00111982864
1 100000 36 0.00112062474
1 100000 37 0.00115606553
1 100000 38 0.00111571634
1 100000 39 0.00124092132
1 100000 40 0.00124856241
1 100000 41 0.00116247835
1 100000 42 0.00117268373
1 100000 43 0.00118685341
1 100000 44 0.00112656590
1 100000 45 0.00119376165
1 100000 46 0.00116860578
1 100000 47 0.00110558921
1 100000 48 0.00112052885
1 100000 49 0.00121111356
1 100000 50 0.00115120952
1 100000 51 0.00119025760
1 100000 52 0.00113848097
1 100000 53 0.00117524603
1 100000 54 0.00118538804
1 100000 55 0.00111715835
1 100000 56 0.00109258077
1 100000 57 0.00116686499
1 100000 58 0.00122266230
1 100000 59 0.00118302841
1 100000 60 0.00118637291
1 100000 61 0.00117548514
1 100000 62 0.00120284177
1 100000 63 0.00107865106
1 100000 64 0.00115601012
1 100000 65 0.00118767490
1 100000 66 0.00113248110
1 100000 67 0.00116873394
1 100000 68 0.00110473448
1 100000 69 0.00115726007
1 100000 70 0.00120077974
1 100000 71 0.00119423272
1 100000 72 0.00113158089
1 100000 73 0.00120600461
1 100000 74 0.00129036455
1 100000 75 0.00119459262
1 100000 76 0.00110622051
1 100000 77 0.00113130249
1 100000 78 0.00115125770
1 100000 79 0.00122488228
1 100000 80 0.00111951136
1 100000 81 0.00124227465
1 100000 82 0.00116244741
1 100000 83 0.00118659556
1 100000 84 0.00113351519
1 100000 85 0.00109822416
1 100000 86 0.00125308069
1 100000 87 0.00119393220
1 100000 88 0.00119807394
1 100000 89 0.00113701273
1 100000 90 0.00121311962
1 100000 91 0.00119985247
1 100000 92 0.00118105544
1 100000 93 0.00117973358
1 100000 94 0.00114449954
1 100000 95 0.00114940220
1 100000 96 0.00119812779
1 100000 97 0.00115090157
1 100000 98 0.00110618707
1 100000 99 0.00118690938
1 100000 100 0.00113871187
3 100 1 0.01947160395
3 100 2 0.00943574170
3 100 3 0.01200322095
3 100 4 0.00559463131
3 100 5 0.01423691655
3 100 6 0.00846878845
3 100 7 0.03125705889
3 100 8 0.00664612948
3 100 9 0.02024424788
3 100 10 0.02162685581
3 100 11 0.01441099911
3 100 12 0.01930203455
3 100 13 0.00465007029
3 100 14 0.02278887457
3 100 15 0.00997430947
3 100 16 0.02138816419
3 100 17 0.00851862666
3 100 18 0.01478160833
3 100 19 0.02110683839
3 100 20 0.00734989096
3 100 21 0.01197384764
3 100 22 0.03270657396
3 100 23 0.00837844824
3 100 24 0.06880736499
3 100 25 0.02118751238
3 100 26 0.00450338457
3 100 27 0.01726258664
3 100 28 0.01109143383
3 100 29 0.01313590678
3 100 30 0.00262079240
3 100 31 0.01689356718
3 100 32 0.01035169679
3 100 33 0.00782324812
3 100 34 0.03471647565
3 100 35 0.01185886865
3 100 36 0.01986377694
3 100 37 0.01322578192
3 100 38 0.03428982554
3 100 39 0.01186993025
3 100 40 0.00321968831
3 100 41 0.01901112370
3 100 42 0.01457017401
3 100 43 0.00976136114
3 100 44 0.01073815392
3 100 45 0.01465590573
3 100 46 0.00787356827
3 100 47 0.01851645623
3 100 48 0.01755995261
3 100 49 0.01828119205
3 100 50 0.00846563370
3 100 51 0.00683205230
3 100 52 0.00708424142
3 100 53 0.02140055564
3 100 54 0.02030485619
3 100 55 0.01805701513
3 100 56 0.01365593532
3 100 57 0.01065010336
3 100 58 0.02091778000
3 100 59 0.01547799870
3 100 60 0.03622365205
3 100 61 0.02776973560
3 100 62 0.01503645733
3 100 63 0.01462482076
3 100 64 0.01718622207
3 100 65 0.02754299483
3 100 66 0.00667197948
3 100 67 0.05111220990
3 100 68 0.01040163602
3 100 69 0.02481567873
3 100 70 0.01038091975
3 100 71 0.01965555441
3 100 72 0.01043590985
3 100 73 0.01662553590
3 100 74 0.02336493181
